,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's exports to Switzerland,United States of America's exports to Switzerland,United States of America's exports to Switzerland,Switzerland's imports from world,Switzerland's imports from world,Switzerland's imports from world,Switzerland's imports from world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
50,'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",9169,11184,10041,,790958,795005,827551,,7686222,8440859,8004948
51,'15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",19146,24841,9680,,449613,524394,507516,,4279475,4340585,2748547
52,'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",17773,16800,8719,,1042470,1043822,1198954,,4356778,4869079,5162951
53,'61,"Articles of apparel and clothing accessories, knitted or crocheted",6653,8497,8326,,3870023,3844783,3817740,,3030769,3492789,3394027
54,'21,Miscellaneous edible preparations,13584,13576,7747,,1024138,1005491,1089711,,10487862,10459069,10272263
55,'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",699,1160,6918,,764433,799862,891729,,6483005,7910015,6661220
56,'96,Miscellaneous manufactured articles,5874,14356,6726,,596395,595615,630343,,2336068,2661046,2643892
57,'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,15135,7368,6411,,990939,884942,843322,,2892580,2939810,2618858
58,'62,"Articles of apparel and clothing accessories, not knitted or crocheted",5002,5390,5534,,4423427,4317085,4560759,,2163568,2646804,2839139
59,'52,Cotton,2385,5893,4991,,115859,139155,119922,,7129541,10744033,7296980
60,'36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,803,2494,4967,,51235,58727,60629,,656457,750935,878798
61,'92,Musical instruments; parts and accessories of such articles,5883,5620,4627,,125658,118037,118788,,851690,935608,928733
62,'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",4672,8894,4342,,662530,685061,692795,,4854294,5077262,4709611
63,'01,Live animals,209,409,3908,,123029,130034,154718,,1279591,1198281,1191003
64,'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",6223,2558,3457,,390049,402801,382585,,33042608,40194577,33904016
65,'86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",1334,2962,3040,,893528,821106,802065,,2653173,3522489,3615147
66,'07,Edible vegetables and certain roots and tubers,5077,3045,2949,,838044,795005,879183,,4927469,5041199,5335168
67,'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",2152,2239,2932,,403801,381783,407753,,2832298,3301294,3161213
68,'05,"Products of animal origin, not elsewhere specified or included",1479,2167,2531,,97153,95381,105070,,1241815,1346056,1396492
69,'44,Wood and articles of wood; wood charcoal,3135,3128,2277,,2426195,2447063,2246961,,9743086,10439488,9505752
70,'23,Residues and waste from the food industries; prepared animal fodder,3440,1818,2018,,672677,769480,756285,,13119396,14756163,15822093
71,'41,Raw hides and skins (other than furskins) and leather,1067,1893,1977,,49381,46268,43748,,1863084,1762333,1550763
72,'09,"Coffee, tea, mat̩ and spices",970,499,1967,,1121229,1422494,1372757,,1096175,1489801,1481480
73,'17,Sugars and sugar confectionery,2430,2970,1950,,283051,316550,375709,,2068251,2439096,2729350
74,'20,"Preparations of vegetables, fruit, nuts or other parts of plants",3951,2973,1801,,651274,644493,692750,,5005347,5385444,5442010
75,'18,Cocoa and cocoa preparations,155,570,1743,,712360,661406,741885,,1979976,2024138,2098865
76,'37,Photographic or cinematographic goods,892,2341,1720,,59320,60006,61150,,2293364,2195023,2127650
77,'54,Man-made filaments; strip and the like of man-made textile materials,1015,1285,1689,,148678,155825,145876,,1469319,1633167,1532639
