,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's exports to United Kingdom,United States of America's exports to United Kingdom,United States of America's exports to United Kingdom,United Kingdom's imports from world,United Kingdom's imports from world,United Kingdom's imports from world,United Kingdom's imports from world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
48,'64,"Footwear, gaiters and the like; parts of such articles",24887,29664,55371,,5218182,6446155,5364268,,1150007,1343430,1414362
49,'31,Fertilisers,21013,41320,55000,,1285143,2623015,1390502,,4621063,8472033,5483859
50,'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",48853,47823,54563,,1429095,1560027,1504749,,2832298,3301294,3161213
51,'89,"Ships, boats and floating structures",38167,49586,50147,,690384,975923,1213587,,2310974,2615501,3167933
52,'86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",24536,37994,49466,,1052509,1185645,1688500,,2653173,3522489,3615147
53,'20,"Preparations of vegetables, fruit, nuts or other parts of plants",42761,42317,49145,,3658099,4680456,5197614,,5005347,5385444,5442010
54,'91,Clocks and watches and parts thereof,34872,43775,47172,,2046230,2141893,2309648,,1519662,1656127,1790459
55,'74,Copper and articles thereof,43637,64683,46182,,2544884,2291413,2081040,,10394755,10050035,10949330
56,'69,Ceramic products,52302,46381,45127,,2231792,2597940,2010276,,2291792,2488620,2329982
57,'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",33464,40490,44248,,2975976,3557976,3287523,,1434670,1608212,1638216
58,'56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",69588,52755,44217,,944958,930827,906920,,2605897,2611644,2542395
59,'18,Cocoa and cocoa preparations,33383,41397,42434,,2995354,3252166,3732062,,1979976,2024138,2098865
60,'17,Sugars and sugar confectionery,42501,41217,39361,,1481988,1688678,2329711,,2068251,2439096,2729350
61,'01,Live animals,43777,44519,39314,,619289,1003858,815044,,1279591,1198281,1191003
62,'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,34788,34287,37119,,3157929,3027571,2610138,,2892580,2939810,2618858
63,'10,Cereals,26238,23280,36700,,2047971,2191636,2134857,,30352567,31578972,23343580
64,'13,"Lac; gums, resins and other vegetable saps and extracts",41956,41909,35646,,277815,262767,225570,,634679,693972,603222
65,'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",39298,34121,34608,,3082366,3039418,2963521,,4854294,5077262,4709611
66,'02,Meat and edible meat offal,6693,5938,33203,,5154792,5907869,6135373,,22124262,23344302,21807421
67,'96,Miscellaneous manufactured articles,34923,40396,32263,,2041622,2276859,2252216,,2336068,2661046,2643892
68,'59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...",52071,36716,30309,,441829,478681,498653,,2089033,2235287,2037867
69,'05,"Products of animal origin, not elsewhere specified or included",26512,21653,26046,,257652,255072,251029,,1241815,1346056,1396492
70,'37,Photographic or cinematographic goods,25789,28434,23973,,368139,393143,381209,,2293364,2195023,2127650
71,'36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,17999,19344,23773,,55062,82542,58578,,656457,750935,878798
72,'54,Man-made filaments; strip and the like of man-made textile materials,24352,22948,22938,,814037,765198,677058,,1469319,1633167,1532639
73,'65,Headgear and parts thereof,18938,25441,18933,,519838,565059,470289,,363053,520352,519846
74,'55,Man-made staple fibres,13267,18908,18145,,566378,555108,461032,,2092227,2320179,2210887
75,'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",20775,13113,17845,,3705905,4107193,4445116,,6483005,7910015,6661220
76,'58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,8498,12326,17483,,321457,297938,265835,,403747,414943,428342
77,'24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, ...",209,11448,16716,,412405,1045947,1802477,,1166032,1229489,1422932
78,'47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,26044,19469,16634,,597930,786498,600825,,9575720,10850826,8769626
79,'11,Products of the milling industry; malt; starches; inulin; wheat gluten,19650,23023,16603,,535215,622236,688168,,1045682,1150195,1197838
80,'16,"Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or ...",26387,31510,13211,,4267730,5164147,5406020,,2341858,2564607,2400752
81,'57,Carpets and other textile floor coverings,10930,18609,13087,,1297646,1182014,1113928,,776609,777073,753219
82,'15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",120547,50237,11455,,2461508,3457027,3032235,,4279475,4340585,2748547
83,'09,"Coffee, tea, mat̩ and spices",16762,14544,10951,,1655260,2118449,2029114,,1096175,1489801,1481480
84,'67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...,9958,13350,9933,,354971,405143,301492,,131555,159929,143078
85,'80,Tin and articles thereof,3233,13303,9834,,151759,162886,111296,,238451,261297,244797
86,'41,Raw hides and skins (other than furskins) and leather,5600,7623,7690,,177299,201775,166039,,1863084,1762333,1550763
87,'79,Zinc and articles thereof,2627,3262,4460,,324652,364553,272826,,408976,542242,383422
88,'60,Knitted or crocheted fabrics,5339,3597,3608,,225071,213451,169210,,821834,905325,751910
89,'51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",2298,2496,2923,,340244,389584,357661,,61276,62325,62071
90,'52,Cotton,3427,3274,2101,,286698,314247,267847,,7129541,10744033,7296980
91,'14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,625,459,1024,,48610,45375,33781,,32506,31254,25974
92,'53,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn,804,721,974,,144862,151681,119149,,21699,23910,23615
93,'43,Furskins and artificial fur; manufactures thereof,984,1441,560,,49636,55110,51469,,142967,122462,101152
94,'66,"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof",251,340,376,,133547,157894,98527,,44899,57514,52977
95,'50,Silk,302,309,260,,25012,30050,28635,,5538,5445,6626
96,'06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",523,590,240,,1803765,1907732,1812274,,520814,535762,489733
97,'78,Lead and articles thereof,288,703,228,,566325,450942,452156,,270871,192932,235419
98,'46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",228,284,224,,163027,159118,91888,,27025,21764,31278
99,'45,Cork and articles of cork,49,88,20,,39461,75252,84112,,21103,26438,26842
