,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's imports from Zambia,United States of America's imports from Zambia,United States of America's imports from Zambia,Zambia's exports to world,Zambia's exports to world,Zambia's exports to world,Zambia's exports to world,United States of America's imports from world,United States of America's imports from world,United States of America's imports from world,United States of America's imports from world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
2,'TOTAL,All products,178726,138902,157185,,11217517,11689732,10535675,,2935314152,3375948186,3172533052
3,'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",52186,100746,122912,,189027,133344,167531,,95969683,96960127,89549261
4,'74,Copper and articles thereof,114701,12358,18209,,8498741,8124727,6793505,,16236022,15562373,14533040
5,'09,"Coffee, tea, mat̩ and spices",7622,11954,6947,,25718,38304,48594,,9431815,12493454,10558710
6,'72,Iron and steel,2053,2272,2323,,234879,329270,195542,,38904135,44933026,33156047
7,'81,Other base metals; cermets; articles thereof,0,4207,2135,,4981,2,0,,2363667,3986669,3683757
8,'23,Residues and waste from the food industries; prepared animal fodder,0,336,1489,,115493,119705,148170,,4663257,5619357,5116393
9,'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",314,1311,1219,,43893,66938,68967,,3298274,3858466,3966288
10,'99,Commodities not elsewhere specified,860,2799,645,,4840,2494,3590,,120523238,117234923,124977171
11,'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",88,440,400,,31921,35649,184540,,282898550,329648232,381037566
12,'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",39,248,279,,103199,103293,134531,,427918555,475932653,459195220
13,'97,"Works of art, collectors' pieces and antiques",122,63,121,,1223,1263,987,,8377261,10349607,10460361
14,'24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, ...",0,778,98,,130007,135699,168551,,2617244,2855604,2992003
15,'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",21,10,76,,3530,2954,4182,,105979496,115032958,118320238
16,'11,Products of the milling industry; malt; starches; inulin; wheat gluten,100,191,71,,36080,90357,16702,,2300512,2922742,2827673
17,'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",47,45,67,,30052,19116,49888,,2903673,3515909,3188509
18,'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",0,0,41,,2631,3548,7657,,16512895,19450808,20086344
19,'46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",96,30,30,,82,67,15,,872499,874665,609481
20,'49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",2,8,24,,1777,9239,3599,,5062492,5827198,5067362
21,'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",13,0,17,,97034,111196,129279,,5479280,6103832,5813224
22,'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",192,22,15,,6136,7576,6788,,23683668,25187793,21135061
23,'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,43,4,15,,9231,15444,10348,,22017576,20880022,16829265
24,'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",78,90,11,,44094,58554,60408,,415442291,477145907,463363545
25,'22,"Beverages, spirits and vinegar",0,0,8,,143661,159537,153794,,30975074,33727111,30960904
26,'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",4,1,7,,28,15,59,,13929584,17447423,13924379
27,'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",38,0,4,,303827,499940,516111,,5195503,6644946,6187972
28,'52,Cotton,1,0,4,,22955,15094,27438,,984961,1026616,815339
29,'39,Plastics and articles thereof,0,3,3,,25598,46155,34972,,82383519,89879630,72346644
30,'40,Rubber and articles thereof,0,0,3,,8400,10488,12459,,41006678,40432341,34843081
31,'30,Pharmaceutical products,0,0,3,,1488,1836,3426,,149410420,164993417,177848476
32,'38,Miscellaneous chemical products,0,0,2,,63754,51035,38005,,21953891,29507737,26911031
33,'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",0,0,2,,3630,2610,1481,,12320950,12673289,10993223
34,'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",2,0,2,,76448,27925,5511,,10307522,11209812,9763904
35,'62,"Articles of apparel and clothing accessories, not knitted or crocheted",8,7,1,,162,237,1141,,35037691,44567971,36346897
36,'50,Silk,0,0,0,,1,0,6,,52910,71732,59157
37,'51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0,0,0,,0,0,0,,260717,283899,250767
38,'41,Raw hides and skins (other than furskins) and leather,0,0,0,,4647,5783,5372,,598841,563757,466044
